Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"O'brien, Mr. John",16/02/2017,,,Stakeholder Event,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,82.00,,
"O'brien, Mr. John",16/02/2017,,,Tube to Kings Cross,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Williams, Ms. Wendy",16/02/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,96.50,,Redfern
"Lincoln, Mr. Paul Michael",17/02/2017,,,"Travel from Home (Bucks) to Leatherhead, Surrey for Police Fed Event",T&S - Employee Reimbursed Mileage,,,,22.00,,
"Lincoln, Mr. Paul Michael",17/02/2017,,,Travel from Surrey to Home after Police Fed Event,T&S - Employee Reimbursed Mileage,,,,22.00,,
"Lloyd, Ms. Myrtle",17/02/2017,,,Overnight Parking @ Park Plaza - Leeds,"T&S - Planes, Trains and Automobiles",,,,14.50,,
"Lloyd, Ms. Myrtle",17/02/2017,,,Petrol for hire car,"T&S - Planes, Trains and Automobiles",,,,16.27,,
"Montgomery, Sir Charles Percival",17/02/2017,,,Visit to Andover - tube travel,"T&S - Planes, Trains and Automobiles",,,,1.50,,
"Montgomery, Sir Charles Percival",17/02/2017,,Andover,EXTERNAL MEETING,Rail,Standard,,,20.00,,Redfern
"Montgomery, Sir Charles Percival",17/02/2017,,Winchester,EXTERNAL MEETING,Rail,Standard,,,16.50,,Redfern
"Eastaugh, Mr. Tony",20/02/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Superior,,110.60,,Redfern
"Hills, Mr. Gareth David",20/02/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Ind, Mr. Hugh Timothy",20/02/2017,,,Fare from Central London to Heathrow - IE Board Away Day at Colnbrook,Taxis,,,,29.09,,
"Ind, Mr. Hugh Timothy",20/02/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Superior,,110.60,,Redfern
"Kershaw, Mr. Stephen Edward",20/02/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Superior,,110.60,,Redfern
"Montgomery, Sir Charles Percival",20/02/2017,,,Upgraded hotel room as room was found to be noisy upon check in and no other rooms were available at the same rate purchased in order to be moved. Plus food for 24+ hour overnight visit.,T&S - Hotels,,,,66.00,,
"Montgomery, Sir Charles Percival",20/02/2017,,London,EXTERNAL MEETING,,,Hotel Room,,"1,196.12",,Redfern
"Parsons, Mr. Michael John",20/02/2017,,Birmingham International,EXTERNAL MEETING,Rail,Standard,,,177.00,,Redfern
"Wilkinson, Ms. Patsy",20/02/2017,,,"Taxi from Whitehall, after official event, to home",Taxis,,,,7.00,,
"Wilkinson, Ms. Patsy",20/02/2017,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,5.00,,Redfern
"Williams, Ms. Wendy",20/02/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,132.50,,Redfern
"Duffy, Mr. Philip",21/02/2017,,,T&E Reconcile,"T&S - Planes, Trains and Automobiles",,,,6.20,,
"Eastaugh, Mr. Tony",21/02/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Room,,109.53,,Redfern
"Ind, Mr. Hugh Timothy",21/02/2017,,,Fare from Heathrow to Central London - Dinner at the House of Commons with the Immigration Minister and Nigerian Diplomat - General Dambazau,Taxis,,,,32.07,,
"Lloyd, Ms. Myrtle",21/02/2017,,,"Under 80 miles, not cost effective to have hire car.",T&S - Employee Reimbursed Mileage,,,,31.20,,
"Oppenheim, Mr. Jeremy",21/02/2017,,,whilst on annual leave drove from holiday location to KPMG offices in Canary Wharf to attend a workshop on vulnerability.,T&S - Employee Reimbursed Mileage,,,,82.80,,
"Oppenheim, Mr. Jeremy",21/02/2017,,,car parking at Canary Wharf whilst attending a workshop at the offices of KPMG.,"T&S - Planes, Trains and Automobiles",,,,22.70,,
"Oppenheim, Mr. Jeremy",21/02/2017,,,Whilst on annual leave travel from Ipswich to London to atend KPMG/HO U collaborate event.,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,55.60,,
"Owen, Mr. Marc",21/02/2017,,,Tickets back from Heathrow following Awayday  purchased for Marc and Tony Eastaugh,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,50.00,,
"Sedwill, Mr. Mark",21/02/2017,,,Early work taxi from home to airport for official visit,Taxis,,,,30.68,,
"Sedwill, Mr. Mark",21/02/2017,,Berlin Tegel,EXTERNAL MEETING,Air Tickets,Economy,,,462.56,,Redfern
"Wilkinson, Ms. Patsy",21/02/2017,,,Taxi from Permanent Secretary event to home,Taxis,,,,10.00,,
"Arnott, Dr. Robert Henry",22/02/2017,,,Church Hse to home (Muslim Charities Forum; 2233 hrs),Taxis,,,,29.09,,
"Clarke, Mr. Richard William John",22/02/2017,,,Inward official visit,Taxis,,,,10.00,,
"France, Mr. David Paul",22/02/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,191.30,,Redfern
"Hepple, Mr. Tyson Julian",22/02/2017,,,travel to croydon,"T&S - Planes, Trains and Automobiles",,,,5.50,,
"Lloyd, Ms. Myrtle",22/02/2017,,,Taxi from home to railway station,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",22/02/2017,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",22/02/2017,,,Dinner,T&S - Subsistence,,,,16.00,,
"Lloyd, Ms. Myrtle",22/02/2017,,London Heathrow,INTERNAL MEETING,,,Hotel Room,,125.60,,Redfern
"Lloyd, Ms. Myrtle",22/02/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,226.00,,Redfern
"Montgomery, Sir Charles Percival",22/02/2017,,,Overnight stay at the Marquis of Alkam - the only suitable hotel in area to accomodate visiting international government delegates and with private room for evening conference activities,T&S - Hotels,,,,158.88,,
"Montgomery, Sir Charles Percival",22/02/2017,,,Overnight stay at the Marquis of Alkam - the only suitable hotel in area to accomodate visiting international government delegates and with private room for evening conference activities,T&S - Hotels,,,,0.42,,
"Oppenheim, Mr. Jeremy",22/02/2017,,,car parking at Ipswich station whilst attending meeting in London (had to attend meeting during a period of annual leave).,"T&S - Planes, Trains and Automobiles",,,,10.70,,
"Parsons, Mr. Michael John",22/02/2017,,,breakfast at hotel,T&S - Hotels,,,,11.00,,
"Sedwill, Mr. Mark",22/02/2017,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,50.00,,Redfern
"Wilkinson, Ms. Patsy",22/02/2017,,,Taxi from home ot London City Airport,Taxis,,,,35.00,,
"Wilkinson, Ms. Patsy",22/02/2017,,Glasgow,EXTERNAL MEETING,Air Tickets,Economy,,,90.70,,Redfern
"Wilkinson, Ms. Patsy",22/02/2017,,Glasgow,EXTERNAL MEETING,,,Hotel Room,,63.80,,Redfern
"Arnott, Dr. Robert Henry",23/02/2017,,,C Lond to home (no trains; storm Doris; 2122 hrs),Taxis,,,,28.63,,
"Arnott, Dr. Robert Henry",23/02/2017,,,2MS to Rochester Wellington Hotel (change round table),Taxis,,,,3.80,,
"France, Mr. David Paul",23/02/2017,,Dover Stns,EXTERNAL MEETING,Rail,Standard,,,57.90,,Redfern
"Ind, Mr. Hugh Timothy",23/02/2017,,,Travel to IE/NCA Joint Reward and Recognition Day at the Kia Oval,Taxis,,,,8.00,,
"Kershaw, Mr. Stephen Edward",23/02/2017,,,Taxi from 2MS to Oval due to attendance at an awards event,Taxis,,,,7.00,,
"Lloyd, Ms. Myrtle",23/02/2017,,,Taxi from railway station to home,Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",23/02/2017,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Sharpling, Miss Drusilla Hope",23/02/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,74.60,,Redfern
"Wilkinson, Miss Sarah Fay",23/02/2017,,Dover Stns,EXTERNAL MEETING,Rail,Standard,,,123.10,,Redfern
"Wilkinson, Miss Sarah Fay",23/02/2017,,,EXTERNAL MEETING,Rail Fee,,,,-53.90,,Redfern
"Wilkinson, Ms. Patsy",23/02/2017,,,Taxi from Hotel to airport in Glasgow,Taxis,,,,25.00,,
"Wilkinson, Ms. Patsy",23/02/2017,,,Taxi from London City airport to home,Taxis,,,,40.00,,
"Wilkinson, Ms. Patsy",23/02/2017,,Belfast City,EXTERNAL MEETING,Air Tickets,Economy,,,40.25,,Redfern
"Wilkinson, Ms. Patsy",23/02/2017,,London City,EXTERNAL MEETING,Air Tickets,Economy,,,158.83,,Redfern
"Williams, Ms. Wendy",23/02/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,-78.50,,Redfern
"Williams, Ms. Wendy",23/02/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,176.00,,Redfern
"Webb, Mr. Stephen",24/02/2017,,Preston,EXTERNAL MEETING,Rail,Standard,,,222.35,,Redfern
"Cunningham, Mr. Michael Bernard",27/02/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,352.00,,Redfern
"Keane, Ms. Jacqueline Frances",27/02/2017,,Doncaster/Sheffield,EXTERNAL MEETING,,,Hotel Room,,75.40,,Redfern
"Keane, Ms. Jacqueline Frances",27/02/2017,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,32.50,,Redfern
"Lloyd, Ms. Myrtle",27/02/2017,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Williams, Mr. Glyn",27/02/2017,,,Business,Taxis,,,,20.00,,
"Williams, Mr. Glyn",27/02/2017,,,Business,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Williams, Ms. Wendy",27/02/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,113.50,,Redfern
"Cunningham, Mr. Michael Bernard",28/02/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Standard- One- King Size,,259.46,,Redfern
"Cunningham, Mr. Michael Bernard",28/02/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Duffy, Mr. Philip",28/02/2017,,,T&E Reconcile,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Duffy, Mr. Philip",28/02/2017,,Leicester,EXTERNAL MEETING,Rail,Standard,,,87.00,,Redfern
"Keane, Ms. Jacqueline Frances",28/02/2017,,Cheltenham Spa,EXTERNAL MEETING,Rail,Standard,,,152.60,,Redfern
"Keane, Ms. Jacqueline Frances",28/02/2017,,Gloucester,EXTERNAL MEETING,,,Hotel Standard Two Queen Beds,,65.60,,Redfern
"Lloyd, Ms. Myrtle",28/02/2017,,,Parking @ railway station,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",28/02/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,251.00,,Redfern
"Montgomery, Sir Charles Percival",28/02/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,56.00,,Redfern
"Montgomery, Sir Charles Percival",28/02/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Shipley, Mr. Gordon Michael",28/02/2017,,,International Conference,Conferences (& Hospitality),,,,692.08,,
"Cunningham, Mr. Michael Bernard",01/03/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Duffy, Mr. Philip",01/03/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,24.40,,Redfern
"Duffy, Mr. Philip",01/03/2017,,Herne Hill,EXTERNAL MEETING,Rail,Standard,,,9.40,,Redfern
"Duffy, Mr. Philip",01/03/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,53.10,,Redfern
"Hepple, Mr. Tyson Julian",01/03/2017,,,Travel to Croydon,"T&S - Planes, Trains and Automobiles",,,,4.00,,
"Hepple, Mr. Tyson Julian",01/03/2017,,Gatwick Airport,EXTERNAL MEETING,Rail,Standard,,,6.20,,Redfern
"Hepple, Mr. Tyson Julian",01/03/2017,,Glasgow,EXTERNAL MEETING,Air Tickets,Economy,,,45.72,,Redfern
"Hepple, Mr. Tyson Julian",01/03/2017,,Glasgow,EXTERNAL MEETING,,,Hotel Standard,,82.26,,Redfern
"Keane, Ms. Jacqueline Frances",01/03/2017,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,34.10,,Redfern
"Lloyd, Ms. Myrtle",01/03/2017,,,Taxi from home to railway station,Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",01/03/2017,,,Taxi from railway station to home,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",01/03/2017,,,Train ticket from Birmingham to Chester,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,31.40,,
"Lloyd, Ms. Myrtle",01/03/2017,,Birmingham New St,INTERNAL MEETING,Rail,Standard,,,37.40,,Redfern
"Lloyd, Ms. Myrtle",01/03/2017,,Chester,INTERNAL MEETING,Rail,Standard,,,5.00,,Redfern
"Montgomery, Sir Charles Percival",01/03/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,11.00,,Redfern
"Pratt, Mr. Alan Palaic",01/03/2017,,,Meetings at Sandridge,T&S - Employee Reimbursed Mileage,,,,4.80,,
"Shipley, Mr. Gordon Michael",01/03/2017,,,International Conference,Conferences (& Hospitality),,,,228.56,,
"Spencer, Dr. Fiona Margaret",01/03/2017,,Milton Keynes Central,EXTERNAL MEETING,Rail,Standard,,,41.00,,Redfern
"Dottridge, Mr. Adrian Yme",02/03/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,87.60,,Redfern
"Dottridge, Mr. Adrian Yme",02/03/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,117.00,,Redfern
"Duffy, Mr. Philip",02/03/2017,,,Port Visit to Heathrow,T&S - Hotels,,,,9.20,,
"Duffy, Mr. Philip",02/03/2017,,,T&E Reconcile,"T&S - Planes, Trains and Automobiles",,,,5.80,,
"Hepple, Mr. Tyson Julian",02/03/2017,,,Subway fare from Glasgow Passport Office to UKVI Office,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,1.60,,
"Hepple, Mr. Tyson Julian",02/03/2017,,,Trip to Glagow,"T&S - Planes, Trains and Automobiles",,,,1.50,,
"Hepple, Mr. Tyson Julian",02/03/2017,,London City,EXTERNAL MEETING,Air Tickets,Economy,,,160.60,,Redfern
"Lloyd, Ms. Myrtle",02/03/2017,,,Taxi from home to railway station,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",02/03/2017,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",02/03/2017,,,dinner,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",02/03/2017,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- Two- Twin,,120.60,,Redfern
"Montgomery, Sir Charles Percival",02/03/2017,,,Overnight stay in Pairs for inauguration of new BF eGates. Hotel app recommended by team based in Paris. Cost in line with policy guidelines.,T&S - Hotels,,,,107.00,,
"Montgomery, Sir Charles Percival",02/03/2017,,,Refreshment during overnight visit to Paris,T&S - Hotels,,,,12.00,,
"Montgomery, Sir Charles Percival",02/03/2017,,,Breakfast (not included with Hotel room),T&S - Hotels,,,,18.12,,
"Montgomery, Sir Charles Percival",02/03/2017,,Paris Gare Du Nord,EXTERNAL MEETING,Cont Rail,Economy,,,123.00,,Redfern
"Owen, Mr. Marc",02/03/2017,,,Meetings in Croydon,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,7.60,,
"Williams, Ms. Wendy",02/03/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,107.50,,Redfern
"Ind, Mr. Hugh Timothy",03/03/2017,,,Attendance at SCS Coaching Workshop,"T&S - Planes, Trains and Automobiles",,,,7.80,,
"Lloyd, Ms. Myrtle",03/03/2017,,,Taxi home from railway station,Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",03/03/2017,,,Tube fare,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Montgomery, Sir Charles Percival",03/03/2017,,,Visit to Paris (opening of eGates) - breakfast for PS - not included in room,T&S - Hotels,,,,17.24,,
"Montgomery, Sir Charles Percival",03/03/2017,,,"Tube to St Pancreas to Waterloo, return from Paris visit",T&S - Hotels,,,,2.40,,
"Montgomery, Sir Charles Percival",03/03/2017,,Calais,EXTERNAL MEETING,Cont Rail,,,,30.99,,Redfern
"Montgomery, Sir Charles Percival",03/03/2017,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,13.94,,Redfern
"Shipley, Mr. Gordon Michael",03/03/2017,,,International Conference,Conferences (& Hospitality),,,,-233.06,,
"Macdonald, Dr. Alexander Ziggy Bruce",05/03/2017,,,Outstanding CIPFA membership fee for 2016,Miscellaneous,,,,151.00,,
"Montgomery, Sir Charles Percival",05/03/2017,,,Use of Winchester Executive Cars for travel from home address to Heathrow Airport for early morning flight,T&S - Hotels,,,,199.50,,
"Owen, Mr. Marc",05/03/2017,,,subsistence as part of trip to Dubai and Pakistan to meet IEI staff,T&S - Subsistence,,,,7.45,,
"Clarke, Mr. Richard William John",06/03/2017,,,I had to get my passport renewed as it had less than 6 mths on it.  I will be travelling with the HS to various locations in the next few months.,T&S - Subsistence,,,,128.00,,
"Duffy, Mr. Philip",06/03/2017,,,Rail ticket to Stansted,T&S - Hotels,,,,13.00,,
"Duffy, Mr. Philip",06/03/2017,,,T&E Reconcile,"T&S - Planes, Trains and Automobiles",,,,6.10,,
"Hayes, Mr. Simon Thomas",06/03/2017,,,Train not running between Runcorn & Liverpool,Taxis,,,,35.00,,
"Hayes, Mr. Simon Thomas",06/03/2017,,,Travel costs from Euston,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Hayes, Mr. Simon Thomas",06/03/2017,,,Dinner before travel,T&S - Subsistence,,,,6.75,,
"Hayes, Mr. Simon Thomas",06/03/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,69.60,,Redfern
"Hayes, Mr. Simon Thomas",06/03/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,84.90,,Redfern
"Lloyd, Ms. Myrtle",06/03/2017,,,Taxi from home to Manchester Airport,Taxis,,,,37.00,,
"Lloyd, Ms. Myrtle",06/03/2017,,,Hold luggage,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,40.00,,
"Lloyd, Ms. Myrtle",06/03/2017,,,Taxi from Belfast City Airport to Belfast APC,Taxis,,,,10.00,,
"Lloyd, Ms. Myrtle",06/03/2017,,,Taxi from Belfast APC to Radisson Blu (Belfast City),Taxis,,,,3.80,,
"Lloyd, Ms. Myrtle",06/03/2017,,,lunch and dinner,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",06/03/2017,,Belfast,INTERNAL MEETING,,,Hotel Room,,79.60,,Redfern
"Lloyd, Ms. Myrtle",06/03/2017,,Belfast City,INTERNAL MEETING,Air Tickets,Economy,,,183.17,,Redfern
"Lloyd, Ms. Myrtle",06/03/2017,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Montgomery, Sir Charles Percival",06/03/2017,,,Taxi from London Waterloo station to Grange Rochester Hotel (following speech in Sunningdale),T&S - Hotels,,,,10.50,,
"Montgomery, Sir Charles Percival",06/03/2017,,Ankara Esenboga,EXTERNAL MEETING,Air Tickets,Club Class,,,687.26,,Redfern
"Pratt, Mr. Alan Palaic",06/03/2017,,,Passport photos for MPLA registration card - required at short notice,Miscellaneous,,,,9.99,,
"Pratt, Mr. Alan Palaic",06/03/2017,,,Parking at station as late finish of meetings and driving straight to Farnborough for Secuirty and Policing,"T&S - Planes, Trains and Automobiles",,,,7.80,,
"Pratt, Mr. Alan Palaic",06/03/2017,,,Driving to Farnborough - Secuirty & Policing,T&S - Employee Reimbursed Mileage,,,,25.60,,
"Silverman, Mr. Bernard Walter",06/03/2017,,New York Jfk,EXTERNAL MEETING,Air Tickets,Premium,,,"1,532.77",,Redfern
"Wilkinson, Ms. Patsy",06/03/2017,,,Taxi from home to Paddington Station,Taxis,,,,20.00,,
"Wilkinson, Ms. Patsy",06/03/2017,,,Visit to Rome arranged by the British Embassy,T&S - Overseas Expenses,,,,43.48,,
"Wilkinson, Ms. Patsy",06/03/2017,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Wilkinson, Ms. Patsy",06/03/2017,,Rome Leonardo,EXTERNAL MEETING,Air Tickets,Economy,,,232.70,,Redfern
"Williams, Ms. Wendy",06/03/2017,,Newcastle,EXTERNAL MEETING,Web Transaction,Premium Economy,,,62.79,,Redfern
"Williams, Ms. Wendy",06/03/2017,,Newcastle,EXTERNAL MEETING,Air Tickets,Economy,,,101.63,,Redfern
"Williams, Ms. Wendy",06/03/2017,,Southampton,EXTERNAL MEETING,Air Tickets,Economy,,,101.31,,Redfern
"Clarke, Mr. Richard William John",07/03/2017,,,official visit,Taxis,,,,8.60,,
"Clarke, Mr. Richard William John",07/03/2017,,Farnborough (Main),EXTERNAL MEETING,Rail,Standard,,,18.80,,Redfern
"Cunningham, Mr. Michael Bernard",07/03/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Eastaugh, Mr. Tony",07/03/2017,,Farnborough (Main),EXTERNAL MEETING,Rail,Standard,,,34.00,,Redfern
"Eastaugh, Mr. Tony",07/03/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Room,,106.38,,Redfern
"Eastaugh, Mr. Tony",07/03/2017,,London Waterloo,EXTERNAL MEETING,Rail,Standard,,,25.40,,Redfern
"Foy, Mr. Timothy John",07/03/2017,,,needed to go from railway station to DBS,Taxis,,,,10.00,,
"Foy, Mr. Timothy John",07/03/2017,,,Out of Office for 14 hours,T&S - Subsistence,,,,9.30,,
"Hayes, Mr. Simon Thomas",07/03/2017,,,Train not running between Liverpool & Runcorn,Taxis,,,,40.00,,
"Hayes, Mr. Simon Thomas",07/03/2017,,,Travel costs from Euston,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",07/03/2017,,,Taxi from Radisson Blu Hotel (Belfast City) to Teleperformance (Bangor),Taxis,,,,22.00,,
"Lloyd, Ms. Myrtle",07/03/2017,,,Taxi home from Manchester Airport,Taxis,,,,41.00,,
"Morrison, Mr. Paul Noble Wilson",07/03/2017,,Leeds,EXTERNAL MEETING,Rail,Standard,,,170.50,,Redfern
"Oppenheim, Mr. Jeremy",07/03/2017,,,taxi from 2 Marsham Street to Pimlico for meeting with NCA.,Taxis,,,,5.20,,
"Owen, Mr. Marc",07/03/2017,,,Overseas expenses and subsistence for two day trip to Dubai and Abu Dhabi,T&S - Hotels,,,,456.38,,
"Parr, Mr. Matthew",07/03/2017,,Huntingdon,EXTERNAL MEETING,Rail,Standard,,,52.80,,Redfern
"Pratt, Mr. Alan Palaic",07/03/2017,,,meal at Security and Policing Exhibition. 24 hour stay.,T&S - Subsistence,,,,18.10,,
"Sedwill, Mr. Mark",07/03/2017,,Bridgend,EXTERNAL MEETING,Rail,Standard,,,117.00,,Redfern
"Sedwill, Mr. Mark",07/03/2017,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,47.00,,Redfern
"Webb, Mr. Stephen",07/03/2017,,Durham,EXTERNAL MEETING,Rail,Standard,,,292.85,,Redfern
"Webb, Mr. Stephen",07/03/2017,,Farnborough (Main),EXTERNAL MEETING,Rail,Standard,,,18.80,,Redfern
"Webb, Mr. Stephen",07/03/2017,,Teesside,EXTERNAL MEETING,,,Hotel Room,,33.87,,Redfern
"Wilkinson, Ms. Patsy",07/03/2017,,,Taxi from Paddington Station to 2 Marsham St,Taxis,,,,15.00,,
"Wilkinson, Ms. Patsy",07/03/2017,,London Heathrow,EXTERNAL MEETING,Air Tickets,Economy,,,141.70,,Redfern
"Cunningham, Mr. Michael Bernard",08/03/2017,,Coventry,EXTERNAL MEETING,Rail,Standard,,,51.50,,Redfern
"Hepple, Mr. Tyson Julian",08/03/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,180.00,,Redfern
"Hepple, Mr. Tyson Julian",08/03/2017,,Liverpool South Parkway,EXTERNAL MEETING,Rail,Standard,,,189.00,,Redfern
"Hepple, Mr. Tyson Julian",08/03/2017,,Moorfields,EXTERNAL MEETING,Rail,Standard,,,4.90,,Redfern
"Lincoln, Mr. Paul Michael",08/03/2017,,Farnborough (Main),EXTERNAL MEETING,Rail,Standard,,,24.45,,Redfern
"Lloyd, Ms. Myrtle",08/03/2017,,,Taxi from home to railway station,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",08/03/2017,,,dinner,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",08/03/2017,,London Heathrow,INTERNAL MEETING,,,Hotel Room,,127.33,,Redfern
"Lloyd, Ms. Myrtle",08/03/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,283.00,,Redfern
"Montgomery, Sir Charles Percival",08/03/2017,,,Refreshment from Boots at Heathrow (returning from Ankara),T&S - Hotels,,,,1.15,,
"Montgomery, Sir Charles Percival",08/03/2017,,Ankara Esenboga,EXTERNAL MEETING,Air Tickets,Business,,,930.16,,Redfern
"Parsons, Mr. Michael John",08/03/2017,,Farnborough (Main),EXTERNAL MEETING,Rail,Standard,,,18.80,,Redfern
"Pratt, Mr. Alan Palaic",08/03/2017,,,Driving from Farnborough - Secuirty & Policing,T&S - Employee Reimbursed Mileage,,,,21.20,,
"Sedwill, Mr. Mark",08/03/2017,,Farnborough (Main),EXTERNAL MEETING,Rail,Standard,,,16.20,,Redfern
"Sedwill, Mr. Mark",08/03/2017,,London Waterloo,EXTERNAL MEETING,Rail,Standard,,,16.20,,Redfern
"Webb, Mr. Stephen",08/03/2017,,,Taxi from hotel to Durham Police HQ,Taxis,,,,6.00,,
"Williams, Mr. Glyn",08/03/2017,,,Tube Fare - Business Meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Williams, Mr. Glyn",08/03/2017,,,Tube Fare - Business Meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Williams, Ms. Wendy",08/03/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,110.60,,Redfern
"Williams, Ms. Wendy",08/03/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,50.50,,Redfern
"Williams, Ms. Wendy",08/03/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,6.00,,Redfern
"Duffy, Mr. Philip",09/03/2017,,,T&E Reconcile,"T&S - Planes, Trains and Automobiles",,,,2.90,,
"Duffy, Mr. Philip",09/03/2017,,Birmingham International,EXTERNAL MEETING,Rail,Standard,,,97.35,,Redfern
"Hills, Mr. Gareth David",09/03/2017,,Feltham,EXTERNAL MEETING,Rail,Standard,,,14.90,,Redfern
"Lloyd, Ms. Myrtle",09/03/2017,,,Taxi home from railway station,Taxis,,,,8.00,,
"Tribe, Mr. Lee Kelvin",09/03/2017,,Farnborough (Main),EXTERNAL MEETING,Rail,Standard,,,49.60,,Redfern
"Williams, Ms. Wendy",09/03/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,79.50,,Redfern
"Arnott, Dr. Robert Henry",10/03/2017,,,2MS to 70W (SRC(O)),Taxis,,,,5.72,,
"Dottridge, Mr. Adrian Yme",10/03/2017,,,Taxi between Feltham Station and ICES office,Taxis,,,,17.00,,
"Dottridge, Mr. Adrian Yme",10/03/2017,,,Taxi between ICES office and Feltham Station,Taxis,,,,17.82,,
"Dottridge, Mr. Adrian Yme",10/03/2017,,Feltham,EXTERNAL MEETING,Rail,Standard,,,15.20,,Redfern
